全面依法治国🦋	✅李倩只管四种手机<br>科学立法—{{c1::前提}}<br>严格执法—{{c1::关键}}<br>司法保障—{{c1::重点}}<br>全民守法—{{c1::基础}}	新思想及其他 法
权利保障	✅县里行司 前要管后<br>宪法保障—{{c1::前提和基础}}<br>立法保障—{{c1::重要条件}}<br>行政保护—{{c1::关键环节}}<br>司法保障—{{c1::最后防线}}	新思想及其他 法
法律的运行	✅定期 只要 用活 手机<br>法律制定～{{c1::起始性和关键性环节}}<br>法律执行～{{c1::重要环节}}<br>法律适用～{{c1::专门活动}}<br>法律遵守～{{c1::基本途径}}	新思想及其他 法
我国公民的最高法律义务	我国公民的最高法律义务是：<br>{{c1::维护国家统一和全国各民族团结}}	新思想及其他 法
建设中特法治体系	✅高中前辈用医保买了药膳和煎包<br>高效的法治实施体系—{{c1::重点}}<br>完备的法律规范体系—{{c1::前提}}<br>有力的法治保障体系—{{c1::重要依托}}<br>完善的党内法规体系—{{c1::本质要求}}<br>严密的法治监督体系—{{c1::重要保障}}	新思想及其他 法
法律至上	✅事事为<br>法律至上 具体表现为法律的：<br>{{c1::普遍适用性}}<br>{{c1::优先适用性}}<br>{{c1::不可违反性}}<br>⚠️辨析：<br>普遍适用性：所有人都必须遵守<br>优先适用性：多种规范矛盾 优先考虑法律规范的适用<br>不可违反性：必须遵守 违反要受到惩罚	新思想及其他 法
推进全面依法治国	根本目的—{{c1::依法保障人民权益}}<br>根本保证—{{c1::坚持党对全面依法治国的领导}}<br>总目标—{{c1::建设中国特色社会主义法治体系，建设社会主义法治国家}}<br>总抓手一{{c1::中国特色社会主义法治体系}}<br>基本原则<br>1.坚持{{c1::中国共产党的领导}}<br>2.坚持{{c1::人民主体地位}}<br>3.坚持{{c1::法律面前人人平等}}<br>4.坚持{{c1::依法治国和以德治国相结合}}<br>5.坚持{{c1::从中国实际出发}}<br>✅中国特色社会主义的本质要求和重要保障：{{c1::全面依法治国}}	新思想及其他 法
实现党的全面领导	党中央对重大工作的领导体制，<br>是加强党的全面领导的制度安排，<br>是实现党的全面领导的{{c1::直接体现}}。<br>加强党的全面领导，<br>必须加强党中央对党和国家重大工作的领导。	新思想及其他 党
党内监督，制度建设，纪律建设	1⃣党内监督是永葆党的肌体健康的生命之源，<br>在党和国家各种监督形式中是{{c1::最根本的、第一位的}}<br>2⃣制度建设是贯穿在政治建设、思想建设、组织建设、作风建设、纪律建设之中的<br>3️⃣加强纪律建设是全面从严治党的{{c1::治本之策}}	新思想及其他 党
马克思主义科学理论	党坚定信仰信念 把握历史主动的根本所在<br>党鲜明的政治品格和强大的政治优势：<br>{{c1::拥有马克思主义科学理论指导}}	新思想及其他 党
党的纪律	党的纪律是多方面的，<br>其中{{c1::政治纪律}}是最重要、最根本、最关键的纪律，<br>遵守党的政治纪律是遵守党的全部纪律的重要基础。	新思想及其他 党
统一战线	✅党的领导 鲜明本心<br>统一战线是{{c1::党领导}}的统一战线<br>党的领导是统一战线{{c1::最鲜明的特征}}<br>坚持党的领导是统一战线{{c1::最核心最根本的问题}}<br>加强新时代统一战线工作 根本在于{{c1::坚持党的领导}}<br>党对统一战线的领导主要是{{c1::政治领导}}，<br>即政治原则、政治方向、重大方针政策的领导。<br>主要体现为<br>党委领导✓（部门领导✗）<br>集体领导✓（个人领导✗）	新思想及其他 党
我们党区别于其他政党	1️⃣中国共产党区别于其他任何政党的显著标志：{{c1::三大作风（七大）}}<br>2️⃣我们党区别于其他政党的显著标志：{{c1::勇于自我革命}}<br>3️⃣我们党区别于其他一切政党根本的标志：{{c1::全心全意为人民服务}}<br>4️⃣我们党区别于其他政党的显著标志：{{c1::人民立场（新大纲）}}<br>⚠人民立场<br>是中国共产党的{{c1::根本政治立场}}<br>是我们党区别于其他政党的显著标志️	新思想及其他 党
自我革命	1️⃣中国共产党区别于其他政党的显著标志：{{c1::勇于自我革命}}<br>2️⃣党最鲜明的品格：{{c1::勇于自我革命}}<br>3️⃣党如何跳出治乱兴衰的历史周期率给出的第二个答案：{{c1::勇于自我革命}}<br>4️⃣党最大的优势是：{{c1::勇于自我革命}}<br>实现伟大自我革命的重要途径是：<br>{{c1::自我净化}}<br>{{c1::自我完善}}<br>{{c1::自我革新}}<br>{{c1::自我提高}}<br>✅革净高完<br>📖在深入推进党的自我革命实践中需要把握好九个问题，即：<br>以{{c1::坚持党中央集中统一领导}}为根本保证，<br>以{{c1::引领伟大社会革命}}为根本目的，（*本伟）<br>以{{c1::习近平新时代中国特色社会主义思想}}为根本遵循，<br>以{{c1::跳出历史周期率}}为战略目标，（战士）<br>以{{c1::解决大党独有难题}}为主攻方向，（攻读）<br>以{{c1::健全全面从严治党体系}}为有效途径，（体校）<br>以{{c1::锻造坚强组织、建设过硬队伍}}为重要着力点，（早点）<br>以{{c1::正风肃纪反腐}}为重要抓手，（抓🐔）<br>以{{c1::自我监督和人民监督相结合}}为强大动力。（自强）	新思想及其他 党
党的领导	中国特色社会主义最本质的特征是：{{c1::党的领导}}<br>中国特色社会主义制度的最大优势是：{{c1::党的领导}}<br>中国特色社会主义制度体系的“根”和“源”是：{{c1::党的领导制度}}<br>推进全面依法治国的根本保证是：{{c1::党的领导}}<br>人民当家作主的根本保证是：{{c1::党的领导}}<br>推进全面依法治国的根本保证、我国社会主义法治之魂是：{{c1::党的领导}}<br>社会主义法治最根本的保证：{{c1::党的领导}}<br>维护国家安全和社会安定的根本保证是：{{c1::坚持党对国家安全工作的绝对领导}}<br>中华民族伟大复兴的根本保证是：{{c1::党的领导}}<br>我们的法治同西方资本主义国家的法治最大的区别：{{c1::党的领导}}<br>生态文明建设的根本保证是：{{c1::加强党对生态文明建设的全面领导}}<br>进一步全面深化改革、推进中国式现代化的根本保证是：{{c1::党的领导}}<br>⚠️党中央集中统一领导是<br>1️⃣党的领导的{{c1::最高原则}}<br>2️⃣党保持团结统一和强大战斗力 不断取得胜利的{{c1::关键所在}}<br>✅根本保证党领导 胜利关键党领导	新思想及其他 党
新发展理念🥷	✅宫本武藏对绿箭心动 用开塞露内调<br>共享—{{c1::本质要求}}<br>绿色—{{c1::必要条件}}<br>创新—{{c1::第一动力}}<br>开放—{{c1::必由之路}}<br>协调—{{c1::内在要求}}	新思想及其他 发展
科学发展观	✅法医仁心在房间吃鸡<br>推动经济社会发展—{{c1::第一要义}}<br>以人为本—{{c1::核心立场}}<br>统筹兼顾—{{c1::根本方法}}<br>全面协调可持续—{{c1::基本要求}}	新思想及其他 发展
新发展理念	✅红绿灯跟导游（根导多了就会忧患）<br>新发展理念是指挥棒 红绿灯<br>是引领我国发展全局深刻变革的科学指引<br>必须完整 准确 全面地理解和把握 要从<br>{{c1::根本宗旨}}上把握新发展理念<br>{{c1::问题导向}}上把握新发展理念<br>{{c1::忧患意识}}上把握新发展理念	新思想及其他 发展
新发展格局	✅店内神仙本子多 房间灌肠留成绩🔞<br>构建新发展格局<br>基本立足点—{{c1::满足国内需求}}<br>主线—{{c1::深化供给侧结构性改革}}<br>最本质特征—{{c1::实现高水平自立自强}}<br>战略方向—{{c1::坚持供给侧结构性改革}}<br>关键—{{c1::经济循环畅通无阻}}<br>战略支撑—{{c1::科技自立自强}}<br>重要前提和保障：<br>{{c1::牢牢守住安全发展这条底线}}	新思想及其他 发展
高质量发展🇺🇸😡🏀🚁	✅科比公主爱打农药 是歌姬 没有福目<br>推动高质量发展的必由之路—{{c1::加快实现高水平科技自立自强}}<br>推动高质量发展的主线—{{c1::深化供给侧改革}}<br>推动高质量发展的必然要求—{{c1::推进农业现代化}}<br>推动高质量发展的战略基点—{{c1::加快构建新发展格局}}<br>推动高质量发展的最终目的—{{c1::人民幸福安康}}<br><br>✅高质量现任<br>高质量发展<br>是全面建设社会主义现代化国家的{{c1::首要任务}}<br>⚠首要任务辨析<br>1️⃣解放和发展社会生产力是改革开放的鲜明特征和{{c1::首要任务}}<br>2️⃣建设社会主义法治国家 必须把全面贯彻实施宪法作为{{c1::首要任务}}<br>3️⃣构建统筹各领域安全的新安全格局<br>必须把维护政治安全作为应对各领域安全风险挑战的{{c1::首要任务}}<br>4️⃣保证全党服从中央 维护党中央权威和集中统一领导是党的政治建设的{{c1::首要任务}}<br>⚠️党的二十大报告指出 推动经济社会发展绿色化 低碳化是实现高质量发展的{{c1::关键环节}}<br>推动高质量发展的根本遵循—{{c1::习近平经济思想}}<br>新时代我国经济社会发展的鲜明主题是{{c1::高质量发展}}<br>中国式现代化的本质要求是{{c1::高质量发展}}……<br>新时代我国经济发展的基本特征：由高速增长阶段转向{{c1::高质量发展阶段}}<br>建设现代化产业体系 要坚持把发展经济的着力点放在{{c1::实体经济}}上	新思想及其他 发展
良好的生态环境	1️⃣{{c1::最公平的公共产品}}<br>2️⃣{{c1::最普惠的民生福祉}}	新思想及其他 帽子
制度	政协制度是{{c1::基本政治制度}}<br>人大制度是{{c1::根本政治制度}}<br><br>⚠易错点<br>政协是组织不是制度<br>政协制度是制度	新思想及其他 帽子
精神核心	时代精神的核心：{{c1::改革创新}}<br>民族精神的核心：{{c1::爱国主义}}<br>五四精神的核心：{{c1::爱国主义}}	新思想及其他 帽子
科技自立自强	✅柯基要两只🐕<br>🚀科技自立自强是<br>1️⃣{{c1::国家强盛之基 安全之要}}<br>2️⃣{{c1::促进发展大局的根本支撑}}<br>3️⃣{{c1::国家发展的战略支撑}}	新思想及其他 帽子
平等	平等是<br>社会主义法律的{{c1::基本属性}}，<br>社会主义法治的{{c1::基本要求}}。	新思想及其他 帽子
金融工作	根本宗旨—{{c1::金融服务实体经济}}<br>永恒主题—{{c1::防控风险}}	新思想及其他 帽子
根基前提辨析	✅全腹肌 舌吻强 弄射鸡<br>国家安全是民族复兴的{{c1::根基}}<br>社会稳定是国家强盛的{{c1::前提}}<br>农业强国是社会主义现代化强国的{{c1::根基}}	新思想及其他 帽子
改善生活	✅结合改善生活<br>正确处理改革发展稳定关系的结合点：{{c1::改善生活}}	新思想及其他 帽子
共建共治共享	✅剑姬只管橡木<br>共建是{{c1::基础}}<br>共治是{{c1::关键}}<br>共享是{{c1::目标}}	新思想及其他 帽子
摸石头过河	✅摸石头改革<br>富有中国特色 符合中国国情的改革方法：{{c1::摸石头过河}}	新思想及其他 帽子
构建更高水平开放型经济体制	我国构建更高水平开放型经济体制的重点是<br>{{c1::制度型开放}}	新思想及其他 帽子
决定社会主义文化事业前途命运的关键	决定社会主义文化事业前途命运的关键是：<br>{{c1::坚持为人民服务 为社会主义服务的根本方向}}	新思想及其他 帽子
区辨析	京津冀﹣﹣{{c1::中国式现代化建设的先行区、示范}}<br>浦东新区﹣﹣{{c1::社会主义现代化建设引领区}}<br>浙江﹣﹣{{c1::高质量发展建设共同富裕示范区}}<br>深圳﹣﹣{{c1::中国特色社会主义先行示范区}}<br>福建﹣﹣{{c1::两岸融合发展示范区}}	新思想及其他 帽子
四个全面战略布局	{{c1::全面建设社会主义现代化国家}}（引领地位）、<br>{{c1::全面深化改革}}、<br>{{c1::全面依法治国}}、<br>{{c1::全面从严治党}}	新思想及其他 帽子
民营经济	1️⃣是推进中国式现代化的{{c1::生力军}}（不等于主力军）<br>2️⃣民营经济是{{c1::非公有制经济}}，<br>是我国社会主义市场经济的{{c1::重要组成部分}}，<br>但不是我国社会主义经济的重要组成部分。	新思想及其他 帽子
国有企业	1️⃣中国特色社会主义的{{c1::重要物质基础和政治基础}}<br>2️⃣我们党执政兴国的{{c1::重要支柱和依靠力量}}	新思想及其他 帽子
坚定制度自信	坚定中国特色社会主义制度自信，<br>首先要坚定对{{c1::中国特色社会主义政治制度}}的自信，	新思想及其他 帽子
一根红线	贯穿中国革命道德始终的一根红线是：<br>{{c1::全心全意为人民服务}}<br>贯穿习近平新时代中国特色社会主义思想的一根红线：<br>{{c1::人民至上}}	新思想及其他 帽子
一国两制	维护国家主权 安全 发展利益是<br>1⃣我国对外工作的{{c1::出发点和落脚点}} 中国外交的{{c1::神圣使命}}<br>2⃣一国两制的{{c1::最高原则}}<br>⚠️一国两制的根本宗旨：<br>1️⃣{{c1::维护国家主权 安全 发展利益}}<br>2️⃣{{c1::保持香港 澳门长期繁荣稳定}}	新思想及其他 帽子
关键一步，关键一招	✅小步放大招<br>全面建成小康社会是迈向中华民族伟大复兴的{{c1::关键一步}}<br>改革开放是决定当代中国命运的{{c1::关键一招}}，<br>也是决定实现“两个一百年”奋斗目标、<br>实现中华民族伟大复兴的{{c1::关键一招}}	新思想及其他 帽子
新型城镇化	深入实施以人为本的新型城镇化战略，<br>要把{{c1::推进农业转移人口市民化}}作为新型城镇化首要任务	新思想及其他 帽子
中国特色社会主义进入新时代判断依据	✅基本矛盾<br>中国特色社会主义进入新时代重大判断的基本依据是：<br>{{c1::我国社会主要矛盾发生新变化}}	新思想及其他 帽子
坚持法治国家 法治政府 法治社会一体建设	✅国标争点机会<br>法治国家是法治建设的{{c1::目标}}<br>法治政府建设是全面依法治国的{{c1::重点任务和主体工程}}<br>法治社会是构筑法治国家的{{c1::基础}}<br>法治社会建设是{{c1::基础工程}}	新思想及其他 帽子
出发点与落脚点	✅人民<br>1️⃣现代化建设的出发点和落脚点：<br>{{c1::实现人民对美好生活的向往}}<br>2️⃣发展的出发点和落脚点：<br>{{c1::满足人民对美好生活的新期待}}<br>3️⃣社会主义改革开放的出发点和落脚点：<br>{{c1::更好实现和维护人民利益 让老百姓过上好日子}}<br>4️⃣民主政治建设的出发点和落脚点：<br>{{c1::实现最广大人民根本利益}}<br>5️⃣文艺和文艺工作的出发点和落脚点：<br>{{c1::满足人民精神文化需求}}<br>6⃣全面建设社会主义现代化国家的出发点和落脚点：<br>{{c1::让人民生活越过越好}}<br>7⃣国家富强、民族振兴的题中之义和必然要求，<br>国家富强、民族振兴的根本出发点和落脚点：<br>{{c1::人民幸福}}<br>8⃣进一步全面深化改革的出发点和落脚点：<br>{{c1::促进社会公平正义、增进人民福祉}}<br>⚠补充<br>⭐全军各项建设的出发点和落脚点：<br>{{c1::提高战斗力}}<br>⭐我国对外工作的出发点和落脚点：<br>{{c1::维护国家主权、安全、发展利益}}	新思想及其他 帽子
必由之路	1️⃣<br>坚持和发展中国特色社会主义的必由之路<br>—{{c1::坚持党的全面领导}}<br>坚持和发展中国特色社会主义的必由之路<br>—{{c1::改革开放}}<br>2️⃣<br>实现中华民族伟大复兴的必由之路<br>—{{c1::中国特色社会主义}}<br>中国人民创造历史伟业的必由之路<br>—{{c1::团结奋斗}}<br>新时代我国发展壮大的必由之路<br>—{{c1::贯彻新发展理念}}<br>党永葆生机活力、走好新的赶考之路的必由之路<br>—{{c1::全面从严治党}}<br>3️⃣<br>国家繁荣发展的必由之路—{{c1::开放}}<br>➡️新发展理念<br>推动高质量发展的必由之路—{{c1::高水平科技自立自强}}<br>➡️高质量发展<br>4️⃣<br>我们攀登世界科技高峰的必由之路<br>—{{c1::自主创新}}<br>全面准确贯彻“一国两制”方针的必由之路<br>—{{c1::依法治港治澳}}	新思想及其他 帽子
